Johan Buddenbrook,Johan Buddenbrook,true,"Adding 'Johan Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Persons are equal."
Alien Alien,Johan Buddenbrook,false,"Adding 'Alien Alien' to children list of 'Johan Buddenbrook' should NOT fail
because Aspirant is alien"
Johann Buddenbrook,Johan Buddenbrook,true,"Adding 'Johann Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Johann Buddenbrook is already child of Johan Buddenbrook"
Johann Buddenbrook,Johan Buddenbrook,true,"Adding 'Johann Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Johann Buddenbrook is in children's line of Johan Buddenbrook"
Bernhard Buddenbrook,Johan Buddenbrook,true,"Adding 'Bernhard Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Bernhard Buddenbrook is already child of Johan Buddenbrook"
Bernhard Buddenbrook,Johan Buddenbrook,true,"Adding 'Bernhard Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Bernhard Buddenbrook is in children's line of Johan Buddenbrook"
Gotthold Buddenbrook,Johan Buddenbrook,true,"Adding 'Gotthold Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Gotthold Buddenbrook is in children's line of Johan Buddenbrook"
Gotthold Buddenbrook,Johan Buddenbrook,true,"Adding 'Gotthold Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Gotthold Buddenbrook has already two other parents : [Josephine Buddenbrook, Johann Buddenbrook]"
Frederike Buddenbrook,Johan Buddenbrook,true,"Adding 'Frederike Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Frederike Buddenbrook is in children's line of Johan Buddenbrook"
Frederike Buddenbrook,Johan Buddenbrook,true,"Adding 'Frederike Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Frederike Buddenbrook has already two other parents : [Gotthold Buddenbrook, Rosalie Stuewing]"
Henriette Buddenbrook,Johan Buddenbrook,true,"Adding 'Henriette Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Henriette Buddenbrook is in children's line of Johan Buddenbrook"
Henriette Buddenbrook,Johan Buddenbrook,true,"Adding 'Henriette Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Henriette Buddenbrook has already two other parents : [Gotthold Buddenbrook, Rosalie Stuewing]"
Pfiffi Buddenbrook,Johan Buddenbrook,true,"Adding 'Pfiffi Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Pfiffi Buddenbrook is in children's line of Johan Buddenbrook"
Pfiffi Buddenbrook,Johan Buddenbrook,true,"Adding 'Pfiffi Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Pfiffi Buddenbrook has already two other parents : [Gotthold Buddenbrook, Rosalie Stuewing]"
Olly Buddenbrook,Johan Buddenbrook,true,"Adding 'Olly Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Olly Buddenbrook is in children's line of Johan Buddenbrook"
Olly Buddenbrook,Johan Buddenbrook,true,"Adding 'Olly Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Olly Buddenbrook has already two other parents : [Johann Buddenbrook, Antoinette Duchamps]"
Johann (Jean) Buddenbrook,Johan Buddenbrook,true,"Adding 'Johann (Jean) Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Johann (Jean) Buddenbrook is in children's line of Johan Buddenbrook"
Johann (Jean) Buddenbrook,Johan Buddenbrook,true,"Adding 'Johann (Jean) Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Johann (Jean) Buddenbrook has already two other parents : [Johann Buddenbrook, Antoinette Duchamps]"
Klothilde Buddenbrook,Johan Buddenbrook,true,"Adding 'Klothilde Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Klothilde Buddenbrook is in children's line of Johan Buddenbrook"
Thomas Buddenbrook,Johan Buddenbrook,true,"Adding 'Thomas Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Thomas Buddenbrook is in children's line of Johan Buddenbrook"
Thomas Buddenbrook,Johan Buddenbrook,true,"Adding 'Thomas Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Thomas Buddenbrook has already two other parents : [Johann (Jean) Buddenbrook, Elisabeth (Bethsy) Kroeger]"
Antonie (Tony) Buddenbrook,Johan Buddenbrook,true,"Adding 'Antonie (Tony) Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Antonie (Tony) Buddenbrook is in children's line of Johan Buddenbrook"
Antonie (Tony) Buddenbrook,Johan Buddenbrook,true,"Adding 'Antonie (Tony) Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Antonie (Tony) Buddenbrook has already two other parents : [Johann (Jean) Buddenbrook, Elisabeth (Bethsy) Kroeger]"
Christian Buddenbrook,Johan Buddenbrook,true,"Adding 'Christian Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Christian Buddenbrook is in children's line of Johan Buddenbrook"
Christian Buddenbrook,Johan Buddenbrook,true,"Adding 'Christian Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Christian Buddenbrook has already two other parents : [Johann (Jean) Buddenbrook, Elisabeth (Bethsy) Kroeger]"
Clara Buddenbrook,Johan Buddenbrook,true,"Adding 'Clara Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Clara Buddenbrook is in children's line of Johan Buddenbrook"
Clara Buddenbrook,Johan Buddenbrook,true,"Adding 'Clara Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Clara Buddenbrook has already two other parents : [Johann (Jean) Buddenbrook, Elisabeth (Bethsy) Kroeger]"
Hanno Buddenbrook,Johan Buddenbrook,true,"Adding 'Hanno Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Hanno Buddenbrook is in children's line of Johan Buddenbrook"
Hanno Buddenbrook,Johan Buddenbrook,true,"Adding 'Hanno Buddenbrook' to children list of 'Johan Buddenbrook' should  fail
because Hanno Buddenbrook has already two other parents : [Thomas Buddenbrook, Gerda Arnoldsen]"
Erika Gruenlich,Johan Buddenbrook,true,"Adding 'Erika Gruenlich' to children list of 'Johan Buddenbrook' should  fail
because Erika Gruenlich is in children's line of Johan Buddenbrook"
Erika Gruenlich,Johan Buddenbrook,true,"Adding 'Erika Gruenlich' to children list of 'Johan Buddenbrook' should  fail
because Erika Gruenlich has already two other parents : [Antonie (Tony) Buddenbrook, Bendix Gruenlich]"
